Timestamp,Course Title,Pack Name,Batch Info,Size MB,Status
2026-08-08 03:00:54,A dark cyberpunk world drawn with Blender,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 13:55:27,All About Japanese Key Animation Genga,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 16:04:38,Creating Characters in a Fictional Universe through Lighting,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 08:12:49,Creating Complete Dynamic and Stylish Characters,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 07:18:28,Drawing & Coloring Anime-Style Characters,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 13:28:48,Drawing Dynamic Action Scenes,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 11:21:31,Drawing Monochromatic Characters Using Lineart,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 20:41:33,From Sketch to 3D Anime Avatar Exploring Applications,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 12:45:28,Illustrating & Animating Character Splash Art,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 14:06:25,Impactful character illustrations incorporating fetishism,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 12:14:47,Intro to Inbetweening Animations & Practical Skills,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 19:31:49,Introduction to Chrometype Artwork with Blender,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 21:35:54,Making Real-Time Cinematic Videos With Unreal Engine 5,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-08 01:23:57,Making Stylized 3D Animation from Scratch,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 12:57:27,Master Class Cinematic Illustrations,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-08 00:50:37,Mastering VTuber Creation from Scratch in Live2D,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 22:06:41,Modeling & Toon Shading Cartoon-Style Girl Characters,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 20:54:36,Realistic Texturing with Cinema4D & Octane,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 12:16:53,Step-by-Step Guide to Creature Design,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 22:52:32,Stylish and immersive animations created with C4D,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 11:21:27,Techniques to Create Unique Storytelling Illustrations,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 23:03:35,The Ultimate Webtoon Illustration Tool Kit,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
2026-08-07 13:18:57,실전부터 시작하는 Houdini FX 트레이닝,Full Course Pack / All Sections,Khóa học hoàn chỉnh trên Drive,0.0,UPLOADED_TO_DRIVE
